,IC3Net: mean,IC3Net: max,IC3Net: min,IC3Net: values,IC3Net vs CommNet: t_stat,IC3Net vs CommNet: t_p_value,IC3Net vs CommNet: wilcoxon_stat,IC3Net vs CommNet: wilcoxon_p_value,IC3Net vs TarMAC+CAVE: t_stat,IC3Net vs TarMAC+CAVE: t_p_value,IC3Net vs TarMAC+CAVE: wilcoxon_stat,IC3Net vs TarMAC+CAVE: wilcoxon_p_value,IC3Net vs TarMAC: t_stat,IC3Net vs TarMAC: t_p_value,IC3Net vs TarMAC: wilcoxon_stat,IC3Net vs TarMAC: wilcoxon_p_value,CommNet: mean,CommNet: max,CommNet: min,CommNet: values,CommNet vs IC3Net: t_stat,CommNet vs IC3Net: t_p_value,CommNet vs IC3Net: wilcoxon_stat,CommNet vs IC3Net: wilcoxon_p_value,CommNet vs TarMAC+CAVE: t_stat,CommNet vs TarMAC+CAVE: t_p_value,CommNet vs TarMAC+CAVE: wilcoxon_stat,CommNet vs TarMAC+CAVE: wilcoxon_p_value,CommNet vs TarMAC: t_stat,CommNet vs TarMAC: t_p_value,CommNet vs TarMAC: wilcoxon_stat,CommNet vs TarMAC: wilcoxon_p_value,TarMAC+CAVE: mean,TarMAC+CAVE: max,TarMAC+CAVE: min,TarMAC+CAVE: values,TarMAC+CAVE vs IC3Net: t_stat,TarMAC+CAVE vs IC3Net: t_p_value,TarMAC+CAVE vs IC3Net: wilcoxon_stat,TarMAC+CAVE vs IC3Net: wilcoxon_p_value,TarMAC+CAVE vs CommNet: t_stat,TarMAC+CAVE vs CommNet: t_p_value,TarMAC+CAVE vs CommNet: wilcoxon_stat,TarMAC+CAVE vs CommNet: wilcoxon_p_value,TarMAC+CAVE vs TarMAC: t_stat,TarMAC+CAVE vs TarMAC: t_p_value,TarMAC+CAVE vs TarMAC: wilcoxon_stat,TarMAC+CAVE vs TarMAC: wilcoxon_p_value,TarMAC: mean,TarMAC: max,TarMAC: min,TarMAC: values,TarMAC vs IC3Net: t_stat,TarMAC vs IC3Net: t_p_value,TarMAC vs IC3Net: wilcoxon_stat,TarMAC vs IC3Net: wilcoxon_p_value,TarMAC vs CommNet: t_stat,TarMAC vs CommNet: t_p_value,TarMAC vs CommNet: wilcoxon_stat,TarMAC vs CommNet: wilcoxon_p_value,TarMAC vs TarMAC+CAVE: t_stat,TarMAC vs TarMAC+CAVE: t_p_value,TarMAC vs TarMAC+CAVE: wilcoxon_stat,TarMAC vs TarMAC+CAVE: wilcoxon_p_value
0,4.608,4.986178793694199,4.2298212063058,"[0.0625, 0.042, 0.0429, 0.0446, 0.0384]",2.196793267481909,0.02964482129146213,15.0,0.03125,-0.5705869001070585,0.7080269305590907,5.0,0.78125,-0.5613393694869165,0.7050300182212128,3.0,0.90625,3.463999999999999,3.7359058660639732,3.192094133936025,"[0.0241, 0.0411, 0.0339, 0.0402, 0.0339]",-2.196793267481909,0.9703551787085379,0.0,1.0,-3.8960980953157507,0.9977151333661688,0.0,1.0,-3.467388307589558,0.9957623936424556,0.0,1.0,4.874,5.049626877214166,4.698373122785833,"[0.0446, 0.0509, 0.0554, 0.0464, 0.0464]",0.5705869001070585,0.2919730694409092,10.0,0.3125,3.8960980953157507,0.002284866633831189,15.0,0.03125,-0.05290686221195389,0.5204483003376351,9.0,0.40625,4.892,5.140505935542796,4.6434940644572045,"[0.0589, 0.0464, 0.0482, 0.042, 0.0491]",0.5613393694869165,0.29496998177878714,12.0,0.15625,3.467388307589558,0.004237606357544457,15.0,0.03125,0.05290686221195389,0.4795516996623649,6.0,0.6875
1,6.8039999999999985,6.977495821275325,6.630504178724672,"[0.0661, 0.0714, 0.0616, 0.0723, 0.0688]",3.3676636785798135,0.004909767909570308,15.0,0.03125,-3.9499921300988174,0.9978819676176147,0.0,1.0,-0.9939017147432446,0.8253109963605884,4.0,0.84375,5.556,5.838426627639818,5.2735733723601825,"[0.0464, 0.0554, 0.0563, 0.0661, 0.0536]",-3.3676636785798135,0.9950902320904297,0.0,1.0,-6.180929052922177,0.9998675593067533,0.0,1.0,-3.6761926732003682,0.9968733094507021,0.0,1.0,8.09,8.323871759731695,7.856128240268304,"[0.0714, 0.0804, 0.0813, 0.0857, 0.0857]",3.9499921300988174,0.00211803238238532,15.0,0.03125,6.180929052922177,0.00013244069324667008,15.0,0.03125,2.3320065452658967,0.02400553222084063,15.0,0.03125,7.16,7.429325082381868,6.890674917618132,"[0.0598, 0.075, 0.075, 0.0759, 0.0723]",0.9939017147432446,0.17468900363941167,11.0,0.21875,3.6761926732003682,0.003126690549297866,15.0,0.03125,-2.3320065452658967,0.9759944677791594,0.0,1.0
2,7.248000000000002,7.390643611844347,7.105356388155657,"[0.0714, 0.0696, 0.0786, 0.0723, 0.0705]",2.3389294439925843,0.02374749822416944,14.0,0.0625,1.3109805783177617,0.11312121739553023,12.0,0.15625,1.5174506608926857,0.08381468795339467,8.5,0.09873303667900934,6.053999999999999,6.487742780919751,5.620257219080248,"[0.058, 0.058, 0.0545, 0.0795, 0.0527]",-2.3389294439925843,0.9762525017758306,1.0,0.96875,-1.6348938151002668,0.9296444922213569,1.0,0.96875,-1.6808694644443274,0.934351940530553,1.0,0.96875,6.911999999999999,7.091452500679148,6.73254749932085,"[0.0705, 0.0688, 0.0688, 0.075, 0.0625]",-1.3109805783177617,0.8868787826044698,3.0,0.90625,1.6348938151002668,0.07035550777864309,14.0,0.0625,0.007879024470118658,0.4969532244151447,4.0,0.6424996726559553,6.910000000000001,7.0490827092057105,6.770917290794292,"[0.0723, 0.0696, 0.0688, 0.0714, 0.0634]",-1.5174506608926857,0.9161853120466054,1.5,0.9012669633209907,1.6808694644443274,0.06564805946944698,14.0,0.0625,-0.007879024470118658,0.5030467755848553,6.0,0.35750032734404463
3,7.84,8.09966131787388,7.58033868212612,"[0.0723, 0.0759, 0.0786, 0.0759, 0.0893]",2.186090262520854,0.030143676412596087,10.0,0.033944577430914495,0.0044646193986834296,0.49827354250203226,8.0,0.5,1.274840551578841,0.11907153640559215,10.0,0.3125,7.002,7.2258999776686,6.778100022331399,"[0.0714, 0.0679, 0.0786, 0.0634, 0.0688]",-2.186090262520854,0.9698563235874039,0.0,0.9660554225690855,-1.9756472886415235,0.9581950063795281,2.0,0.9375,-0.6944824017744816,0.7464782950924493,5.0,0.78125,7.838000000000001,8.14314783302524,7.53285216697476,"[0.0804, 0.0875, 0.0705, 0.083, 0.0705]",-0.0044646193986834296,0.5017264574979677,7.0,0.59375,1.9756472886415235,0.04180499362047187,13.0,0.09375,1.1743086153618079,0.1370204890384681,12.5,0.15625,7.286,7.575227937793015,6.996772062206984,"[0.0768, 0.0732, 0.0741, 0.0795, 0.0607]",-1.274840551578841,0.8809284635944079,5.0,0.78125,0.6944824017744816,0.25352170490755066,10.0,0.3125,-1.1743086153618079,0.8629795109615319,2.5,0.9375
4,6.981999999999999,7.222189924851147,6.741810075148852,"[0.0607, 0.0714, 0.0723, 0.0679, 0.0768]",1.3044140688416863,0.11418318723528303,11.0,0.21875,0.2758764056289859,0.39481767648800786,9.0,0.40625,0.6875953192128413,0.25557333878975363,5.5,0.4269616496435334,6.394,6.717834525645429,6.070165474354571,"[0.0625, 0.067, 0.0625, 0.075, 0.0527]",-1.3044140688416863,0.885816812764717,4.0,0.84375,-1.2245078966162122,0.8722036303116563,4.5,0.84375,-0.8563632537687088,0.7916456356785992,3.0,0.90625,6.892000000000001,7.057684036648074,6.7263159633519285,"[0.0634, 0.0661, 0.0732, 0.0723, 0.0696]",-0.2758764056289859,0.6051823235119921,6.0,0.6875,1.2245078966162122,0.12779636968834368,10.5,0.3125,0.5149390978287437,0.3102587627708731,9.0,0.40625,6.749999999999999,6.932712889528899,6.567287110471099,"[0.0643, 0.0679, 0.0723, 0.0714, 0.0616]",-0.6875953192128413,0.7444266612102464,4.5,0.5730383503564667,0.8563632537687088,0.20835436432140075,12.0,0.15625,-0.5149390978287437,0.689741237229127,6.0,0.6875
5,7.856000000000001,8.162197322000047,7.5498026779999545,"[0.0839, 0.0857, 0.0732, 0.0821, 0.0679]",-1.2203171582271954,0.871453758419578,1.0,0.96875,0.5882238961179793,0.2863047095742432,10.0,0.3125,0.03792121740859747,0.4853398550409025,5.0,0.5,8.34,8.519131236806984,8.160868763193015,"[0.0857, 0.0884, 0.0848, 0.0813, 0.0768]",1.2203171582271954,0.12854624158042205,14.0,0.0625,2.2810215934495424,0.0259941797163918,15.0,0.03125,1.3039005022860553,0.11426660057111455,13.0,0.09375,7.606,7.831274943125062,7.380725056874938,"[0.0723, 0.0848, 0.0786, 0.0732, 0.0714]",-0.5882238961179793,0.7136952904257567,5.0,0.78125,-2.2810215934495424,0.9740058202836083,0.0,1.0,-0.560134888197307,0.7046384271328019,3.0,0.90625,7.838000000000001,8.13209386256772,7.543906137432282,"[0.0732, 0.0857, 0.0866, 0.0705, 0.0759]",-0.03792121740859747,0.5146601449590975,5.0,0.5,-1.3039005022860553,0.8857333994288855,2.0,0.9375,0.560134888197307,0.2953615728671981,12.0,0.15625
6,7.464000000000001,7.698309197429381,7.229690802570621,"[0.0679, 0.0714, 0.0777, 0.0732, 0.083]",1.2176791602525843,0.1290201424179198,9.0,0.07206351740800766,-0.27252509212150156,0.60393979475057,7.0,0.59375,0.06283114826516804,0.4757212263877326,8.0,0.5,7.090000000000001,7.233415480335981,6.946584519664021,"[0.0679, 0.067, 0.0705, 0.075, 0.0741]",-1.2176791602525843,0.8709798575820802,1.0,0.9279364825919924,-1.4580979544377763,0.9085378756461212,0.0,0.9660554225690855,-1.7990815013907602,0.94514654798731,1.0,0.96875,7.57,7.827153650567127,7.312846349432873,"[0.0696, 0.075, 0.0732, 0.0866, 0.0741]",0.27252509212150156,0.3960602052494299,8.0,0.5,1.4580979544377763,0.09146212435387881,10.0,0.033944577430914495,0.399987513591974,0.349816669213611,5.0,0.78125,7.446,7.549714994094392,7.342285005905607,"[0.0705, 0.0768, 0.0741, 0.0741, 0.0768]",-0.06283114826516804,0.5242787736122674,7.0,0.59375,1.7990815013907602,0.054853452012689964,14.0,0.0625,-0.399987513591974,0.6501833307863889,10.0,0.3125
7,7.16,7.338280677584533,6.981719322415468,"[0.0688, 0.0705, 0.0795, 0.0696, 0.0696]",-0.7555023037338282,0.7641981901978971,3.0,0.7673955907739292,-0.6581864494007447,0.7355499730692008,5.0,0.78125,0.6457223727064237,0.26826825496613843,9.0,0.40625,7.428,7.6904560915658084,7.165543908434191,"[0.0688, 0.0723, 0.0723, 0.0723, 0.0857]",0.7555023037338282,0.2358018098021028,7.0,0.2326044092260709,0.0765077477356872,0.4704469603192761,7.0,0.59375,1.1487989264796583,0.14191267898078216,10.0,0.3125,7.396,7.662587321528988,7.129412678471012,"[0.0786, 0.0679, 0.0813, 0.0759, 0.0661]",0.6581864494007447,0.2644500269307992,10.0,0.3125,-0.0765077477356872,0.5295530396807239,8.0,0.5,1.0731935983750733,0.15724321005509553,11.0,0.21875,6.894,7.216448135364433,6.571551864635567,"[0.0741, 0.0795, 0.0616, 0.0688, 0.0607]",-0.6457223727064237,0.7317317450338616,6.0,0.6875,-1.1487989264796583,0.8580873210192178,5.0,0.78125,-1.0731935983750733,0.8427567899449044,4.0,0.84375
8,7.536,7.85905541320337,7.212944586796629,"[0.0634, 0.0723, 0.0759, 0.0839, 0.0813]",0.42534356540325013,0.3408984023695638,8.0,0.5,-1.5713823635157158,0.9226317626119332,2.0,0.9375,-1.060168362463238,0.8399880922832492,1.0,0.9279364825919924,7.2860000000000005,7.700734613940048,6.871265386059953,"[0.0741, 0.0777, 0.0661, 0.0866, 0.0598]",-0.42534356540325013,0.6591015976304362,7.0,0.59375,-1.7854460159485328,0.9439921806467232,3.0,0.90625,-1.310755546477899,0.8868425290551466,3.0,0.90625,8.232000000000001,8.461301548184919,8.002698451815084,"[0.0821, 0.0741, 0.0857, 0.0804, 0.0893]",1.5713823635157158,0.07736823738806668,13.0,0.09375,1.7854460159485328,0.05600781935327681,12.0,0.15625,-0.05608606188786128,0.5216756414942654,8.0,0.5,8.268,8.794326134635172,7.74167386536483,"[0.0634, 0.0857, 0.0938, 0.0946, 0.0759]",1.060168362463238,0.16001190771675072,9.0,0.07206351740800766,1.310755546477899,0.11315747094485339,12.0,0.15625,0.05608606188786128,0.4783243585057346,7.0,0.59375
9,7.804,8.12997668628293,7.4780233137170695,"[0.0732, 0.0696, 0.0777, 0.0911, 0.0786]",0.9429915262009578,0.18664353966485484,10.0,0.3125,0.667478388222249,0.26162518671156565,8.0,0.13666083914614907,-0.042154451144926525,0.5162956556659497,7.0,0.59375,7.374,7.619122010435619,7.12887798956438,"[0.0705, 0.0705, 0.083, 0.0679, 0.0768]",-0.9429915262009578,0.8133564603351452,5.0,0.78125,-0.11062873691933418,0.5426821016075001,6.0,0.6875,-1.2691167206454799,0.879962194474651,2.0,0.863339160853851,7.430000000000001,7.810662580246602,7.0493374197534,"[0.0732, 0.0679, 0.0634, 0.0795, 0.0875]",-0.667478388222249,0.7383748132884344,2.0,0.863339160853851,0.11062873691933418,0.4573178983925,9.0,0.40625,-0.8162522687529573,0.7810082817729849,5.0,0.78125,7.822,8.021005527561423,7.622994472438577,"[0.0705, 0.0813, 0.0759, 0.0813, 0.0821]",0.042154451144926525,0.4837043443340504,8.0,0.5,1.2691167206454799,0.12003780552534907,8.0,0.13666083914614907,0.8162522687529573,0.2189917182270152,10.0,0.3125
