,CommNet: mean,CommNet: max,CommNet: min,CommNet: values,CommNet vs TarMAC+CAVE: t_stat,CommNet vs TarMAC+CAVE: t_p_value,CommNet vs TarMAC+CAVE: wilcoxon_stat,CommNet vs TarMAC+CAVE: wilcoxon_p_value,CommNet vs TarMAC: t_stat,CommNet vs TarMAC: t_p_value,CommNet vs TarMAC: wilcoxon_stat,CommNet vs TarMAC: wilcoxon_p_value,TarMAC+CAVE: mean,TarMAC+CAVE: max,TarMAC+CAVE: min,TarMAC+CAVE: values,TarMAC+CAVE vs CommNet: t_stat,TarMAC+CAVE vs CommNet: t_p_value,TarMAC+CAVE vs CommNet: wilcoxon_stat,TarMAC+CAVE vs CommNet: wilcoxon_p_value,TarMAC+CAVE vs TarMAC: t_stat,TarMAC+CAVE vs TarMAC: t_p_value,TarMAC+CAVE vs TarMAC: wilcoxon_stat,TarMAC+CAVE vs TarMAC: wilcoxon_p_value,TarMAC: mean,TarMAC: max,TarMAC: min,TarMAC: values,TarMAC vs CommNet: t_stat,TarMAC vs CommNet: t_p_value,TarMAC vs CommNet: wilcoxon_stat,TarMAC vs CommNet: wilcoxon_p_value,TarMAC vs TarMAC+CAVE: t_stat,TarMAC vs TarMAC+CAVE: t_p_value,TarMAC vs TarMAC+CAVE: wilcoxon_stat,TarMAC vs TarMAC+CAVE: wilcoxon_p_value
0,19.651999999999997,19.92227985496518,19.381720145034816,"[0.197, 0.1993, 0.1888, 0.206, 0.1915]",-3.159895728214043,0.9933014634266549,0.0,1.0,-3.9500219821304903,0.9978820563201971,0.0,1.0,20.966,21.221508903954444,20.71049109604556,"[0.213, 0.2075, 0.1998, 0.2115, 0.2165]",3.159895728214043,0.006698536573345039,15.0,0.03125,-0.9956665965635051,0.8257147932553268,4.0,0.84375,21.393999999999995,21.681299147231588,21.1067008527684,"[0.2167, 0.212, 0.215, 0.2228, 0.2032]",3.9500219821304903,0.0021179436798028947,15.0,0.03125,0.9956665965635051,0.17428520674467324,11.0,0.21875
1,27.46,27.61962455951388,27.30037544048612,"[0.278, 0.268, 0.275, 0.2775, 0.2745]",1.5217525750866812,0.08328327771995775,12.0,0.15625,1.3258560787680844,0.11074659989125711,11.5,0.21875,27.052000000000003,27.230961448362493,26.873038551637514,"[0.2712, 0.2687, 0.2677, 0.267, 0.278]",-1.5217525750866812,0.9167167222800423,3.0,0.90625,-0.41147099630154255,0.6542350430543467,6.0,0.6875,27.154,27.28489232215833,27.02310767784167,"[0.27, 0.276, 0.274, 0.269, 0.2687]",-1.3258560787680844,0.8892534001087429,3.5,0.90625,0.41147099630154255,0.3457649569456533,9.0,0.40625
2,27.532,27.666622434980205,27.397377565019795,"[0.277, 0.2757, 0.2732, 0.271, 0.2797]",-1.9103371705210737,0.9537584390742968,1.0,0.96875,-0.12248933049566406,0.5472336647453809,7.0,0.59375,27.838,27.88702244383953,27.78897755616047,"[0.2802, 0.2772, 0.2775, 0.278, 0.279]",1.9103371705210737,0.04624156092570325,14.0,0.0625,1.539605144822189,0.08111017088624536,12.0,0.15625,27.560000000000002,27.713883072493374,27.40611692750663,"[0.279, 0.272, 0.279, 0.277, 0.271]",0.12248933049566406,0.4527663352546191,8.0,0.5,-1.539605144822189,0.9188898291137546,3.0,0.90625
3,27.022000000000002,27.240474712495523,26.80352528750448,"[0.264, 0.2662, 0.276, 0.2757, 0.2692]",-0.11204965348014191,0.5432277534468033,5.0,0.78125,-0.796740035139776,0.7757005036055258,1.0,0.9279364825919924,27.061999999999998,27.294850166416087,26.82914983358391,"[0.2682, 0.2675, 0.2642, 0.2785, 0.2747]",0.11204965348014191,0.45677224655319665,10.0,0.3125,-0.6361302561712247,0.7287708235835051,4.0,0.84375,27.262000000000004,27.41966800563209,27.104331994367918,"[0.2695, 0.2715, 0.2742, 0.2787, 0.2692]",0.796740035139776,0.22429949639447422,9.0,0.07206351740800766,0.6361302561712247,0.2712291764164949,11.0,0.21875
4,27.412000000000003,27.568522202897867,27.255477797102138,"[0.2707, 0.2717, 0.2735, 0.274, 0.2807]",-1.470273640576622,0.9101554484820644,3.0,0.90625,-1.1599976401851948,0.860252172256198,0.0,1.0,27.686,27.74331317475066,27.62868682524934,"[0.2745, 0.2777, 0.2782, 0.2772, 0.2767]",1.470273640576622,0.08984455151793559,12.0,0.15625,-0.06482226378873916,0.5250469739625985,9.0,0.40625,27.698,27.853342202894126,27.542657797105875,"[0.2712, 0.2765, 0.277, 0.2782, 0.282]",1.1599976401851948,0.13974782774380196,15.0,0.03125,0.06482226378873916,0.4749530260374015,6.0,0.6875
5,27.892,27.972964189614913,27.811035810385086,"[0.2782, 0.2797, 0.278, 0.2767, 0.282]",-0.9426111512199945,0.8132649058758061,3.0,0.90625,-0.6285416691415401,0.726414598368492,5.0,0.78125,28.017999999999997,28.10597272304527,27.930027276954725,"[0.2787, 0.2838, 0.2785, 0.2807, 0.2792]",0.9426111512199945,0.1867350941241938,12.0,0.15625,0.32349443372127457,0.37730765918078724,7.0,0.2326044092260709,27.974,28.058028566571135,27.889971433428865,"[0.2807, 0.283, 0.2785, 0.278, 0.2785]",0.6285416691415401,0.273585401631508,10.0,0.3125,-0.32349443372127457,0.6226923408192128,3.0,0.7673955907739292
6,27.901999999999997,28.031565427487426,27.77243457251257,"[0.2792, 0.2742, 0.2805, 0.2782, 0.283]",1.3499529181997312,0.10699057848849762,13.0,0.09375,1.3030878903360825,0.11439869069350633,12.0,0.15625,27.565999999999995,27.7470325937504,27.38496740624959,"[0.2697, 0.2737, 0.282, 0.2757, 0.2772]",-1.3499529181997312,0.8930094215115023,2.0,0.9375,0.006770448117095687,0.4973818968437197,8.0,0.5,27.564,27.7564494738886,27.3715505261114,"[0.269, 0.279, 0.2792, 0.272, 0.279]",-1.3030878903360825,0.8856013093064936,3.0,0.90625,-0.006770448117095687,0.5026181031562802,7.0,0.59375
7,28.299999999999997,28.40035935432235,28.199640645677643,"[0.2855, 0.2823, 0.2792, 0.283, 0.285]",1.351436665090872,0.10676292966996577,12.0,0.15625,0.21776266849641443,0.4165328619172031,9.0,0.40625,28.12,28.184187226143525,28.055812773856477,"[0.283, 0.2825, 0.281, 0.279, 0.2805]",-1.351436665090872,0.8932370703300343,3.0,0.90625,-1.2440049823907773,0.8756446788882003,2.0,0.863339160853851,28.267999999999997,28.35287166782855,28.183128332171446,"[0.2805, 0.2853, 0.2833, 0.2838, 0.2805]",-0.21776266849641443,0.5834671380827969,6.0,0.6875,1.2440049823907773,0.12435532111179977,8.0,0.13666083914614907
8,27.96,28.117708592029732,27.80229140797027,"[0.2818, 0.279, 0.2805, 0.2732, 0.2835]",0.23359830398038095,0.41058170838652014,8.0,0.5,0.0,0.5,10.0,0.3125,27.898,28.075435058542556,27.720564941457443,"[0.2825, 0.2792, 0.2833, 0.2722, 0.2777]",-0.23359830398038095,0.5894182916134798,7.0,0.59375,-0.20930662510167458,0.580279774469239,8.0,0.5,27.96,28.156753653079175,27.763246346920827,"[0.2797, 0.2785, 0.28, 0.273, 0.2868]",0.0,0.5,5.0,0.78125,0.20930662510167458,0.41972022553076094,7.0,0.59375
9,28.862,29.011810547025235,28.712189452974762,"[0.282, 0.2905, 0.2908, 0.2905, 0.2893]",0.17428259104039778,0.4329865298988473,8.0,0.5,-0.6075532968553322,0.7198351105694654,1.0,0.96875,28.823999999999998,28.948855116034544,28.699144883965452,"[0.2858, 0.2903, 0.2843, 0.2918, 0.289]",-0.17428259104039778,0.5670134701011528,7.0,0.59375,-0.8297047202064265,0.7846169723992547,3.0,0.90625,29.008,29.162127220178654,28.853872779821344,"[0.2838, 0.2935, 0.2895, 0.2928, 0.2908]",0.6075532968553322,0.2801648894305346,14.0,0.0625,0.8297047202064265,0.21538302760074535,12.0,0.15625
